round,date,reward,wealth,AGG_ret,DBC_ret,SPY_ret,AGG_weight,DBC_weight,SPY_weight,,,,,
0,2013/9/30,32617.4054,1012849.443,0.011206417,-0.033758453,0.031646538,0.273811489,0.201824889,0.524363637,,,,,
0,2013/10/31,57567.75508,1020458.575,0.008325796,-0.000388308,0.046306389,0.511842012,0.137226567,0.350931466,,,,,
0,2013/11/30,43623.8683,1018760.149,-0.00250637,-0.009320303,0.029638196,0.185410887,0.12623933,0.688349783,,,,,
0,2013/12/31,39941.54306,1017621.207,-0.005567635,0.005880164,0.025926186,0.105575182,0.24842909,0.645995796,,,,,
0,2014/1/31,-36877.57354,987039.8964,0.015408999,-0.030397646,-0.035248397,0.425618976,0.149985492,0.424395472,,,,,
0,2014/2/28,61063.51992,1042631.256,0.003763944,0.050241103,0.045516139,0.07340347,0.038068168,0.888528407,,,,,
0,2014/3/31,2480.301813,1000380.107,-0.001479996,-0.000382643,0.008295155,0.688604176,0.136421442,0.174974337,,,,,
0,2014/4/30,17436.63449,1007743.081,0.00821654,0.01110264,0.006951802,0.358712733,0.081333287,0.559954047,,,,,
0,2014/5/31,44053.65566,1008272.894,0.011790558,-0.014388493,0.023206233,0.396531433,0.276811838,0.326656729,,,,,
0,2014/6/30,66260.43356,1011653.887,-0.000575086,0.021129466,0.020645231,0.427212864,0.153331354,0.419455767,,,,,
0,2014/7/31,-57823.37298,985479.0558,-0.002509406,-0.047404116,-0.013437852,0.447696894,0.175931171,0.376371861,,,,,
0,2014/8/31,83797.51159,1016848.453,0.011496757,-0.011453348,0.039463471,0.421315163,0.212743387,0.365941435,,,,,
0,2014/9/30,-68843.85987,970086.4522,-0.006148709,-0.072313193,-0.01379647,0.120998025,0.291240543,0.587761402,,,,,
0,2014/10/31,20498.37293,1021629.43,0.010640764,-0.038759799,0.023551318,0.053310189,0.019797798,0.926891983,,,,,
0,2014/11/30,-718.6804823,999861.8637,0.006569927,-0.085125383,0.027472236,0.751468956,0.10571216,0.142818943,,,,,
0,2014/12/31,-62194.38045,960204.438,0.00147649,-0.096474078,-0.00253716,0.170333624,0.403910011,0.425756365,,,,,
0,2015/1/31,-39398.10482,977598.8799,0.020522855,-0.056910576,-0.029629114,0.29701978,0.281074852,0.421905369,,,,,
0,2015/2/28,21661.25525,1005812.251,-0.008947537,0.044252926,0.056204538,0.742828965,0.166959405,0.090211555,,,,,
0,2015/3/31,-44728.25596,960144.9224,0.003747076,-0.06053935,-0.015705507,0.045138862,0.558230937,0.396630198,,,,,
0,2015/4/30,64194.98093,1022525.4,-0.00322791,0.071470478,0.009833604,0.28579849,0.266476154,0.447725356,,,,,
0,2015/5/31,-15331.55736,994718.1459,-0.00437412,-0.03171142,0.012856372,0.526885033,0.203279942,0.269835055,,,,,
0,2015/6/30,-29019.69985,985559.9006,-0.010766975,0.016374861,-0.020311945,0.194878593,0.109350897,0.695770502,,,,,
0,2015/7/31,-108630.5744,928676.3537,0.00862171,-0.126111068,0.022589317,0.192121014,0.613512158,0.194366902,,,,,
0,2015/8/31,-33870.16047,948460.1233,-0.003358202,-0.002542865,-0.060950227,0.024192862,0.137260705,0.838546455,,,,,
0,2015/9/30,-17748.1021,992540.4182,0.008113875,-0.034416786,-0.02551606,0.604496241,0.255338013,0.140165642,,,,,
0,2015/10/31,40214.63065,1007533.801,0.000686226,0.003300251,0.085060186,0.825929642,0.095883459,0.07818684,,,,,
0,2015/11/30,1466.80245,1001042.972,-0.00389098,-0.066447354,0.003654612,0.053202111,0.031528335,0.915269494,,,,,
0,2015/12/31,-45458.28551,974205.8048,-0.001917241,-0.058491766,-0.017282517,0.379731476,0.348134398,0.272134125,,,,,
0,2016/1/31,-26554.4582,980202.3656,0.012406618,-0.043413312,-0.049786355,0.46933198,0.125461057,0.405206949,,,,,
0,2016/2/29,109.7481283,1000102.077,0.008870531,-0.002347396,-0.00082589,0.131927982,0.230864808,0.63720715,,,,,
0,2016/3/31,98135.87523,1049396.15,0.008746676,0.042352978,0.067265621,0.23199752,0.172331005,0.595671475,,,,,
0,2016/4/30,52132.08888,1024694.168,0.002549558,0.097065465,0.003941158,0.250148565,0.226590857,0.523260534,,,,,
0,2016/5/31,21159.12874,1011292.394,0.000135605,0.008916291,0.017011709,0.19268468,0.304807961,0.502507329,,,,,
0,2016/6/30,24058.52981,1015319.49,0.01935113,0.04350791,0.003476016,0.36002019,0.153080761,0.486899078,,,,,
0,2016/7/31,14287.98993,1007297.331,0.005445156,-0.069706924,0.036471242,0.155453011,0.229339153,0.615207791,,,,,
0,2016/8/31,5090.395223,1002079.921,-0.002154719,0.007703035,0.00119753,0.382901669,0.332944572,0.284153789,,,,,
0,2016/9/30,8629.149144,1005242.795,0.000516187,0.043085636,5.80E-05,0.316263527,0.117131405,0.566605091,,,,,
0,2016/10/31,-43007.55992,986588.1031,-0.008171118,-0.003331178,-0.017337172,0.257880688,0.111489892,0.63062942,,,,,
0,2016/11/30,28573.44404,1011853.028,-0.025654803,0.016711269,0.036838713,0.347584128,0.162163153,0.490252703,,,,,
0,2016/12/31,61836.67134,1018118.179,0.002540664,0.041420019,0.02027132,0.326924235,0.172277287,0.500798464,,,,,
0,2017/1/31,42479.99642,1011152.76,0.002128651,-0.005681766,0.01789496,0.287325263,0.093827322,0.61884743,,,,,
0,2017/2/28,122159.2687,1030884.072,0.006458675,-0.001904814,0.039291253,0.033834845,0.177111477,0.789053679,,,,,
0,2017/3/31,-23221.20397,992265.4034,-0.000552256,-0.032442657,0.001250162,0.416035801,0.244410783,0.339553475,,,,,
0,2017/4/30,2987.668825,1000536.105,0.009069586,-0.02695601,0.0099263,0.59379065,0.240806103,0.165403187,,,,,
0,2017/5/31,4071.269602,1001650.873,0.006870786,-0.014189205,0.014112884,0.340133011,0.353286117,0.306580901,,,,,
0,2017/6/30,7959.386499,1002235.066,-0.000182143,-0.00959555,0.006374908,0.302278757,0.135110989,0.562610269,,,,,
0,2017/7/31,75071.64801,1013932.216,0.003339787,0.040830321,0.020553862,0.494678944,0.093398631,0.411922455,,,,,
0,2017/8/31,12134.72684,1004736.5,0.009413189,0.00398947,0.002918012,0.253303528,0.161683708,0.585012734,,,,,
0,2017/9/30,50526.08677,1004838.521,-0.005715935,0.019867437,0.020149447,0.591330647,0.05649709,0.352172256,,,,,
0,2017/10/31,82354.32032,1020891.532,0.000978707,0.039610498,0.023563942,0.33183831,0.300515234,0.367646515,,,,,
0,2017/11/30,57464.34744,1010181.566,-0.001482869,0.009369057,0.030565946,0.556601346,0.120110422,0.323288262,,,,,
0,2017/12/31,51205.78114,1012142.006,0.004751633,0.027846683,0.012127886,0.220573112,0.104405105,0.675021827,,,,,
0,2018/1/31,62491.87832,1012988.66,-0.011250377,0.0295002,0.056358972,0.612842858,0.072095618,0.31506142,,,,,
0,2018/2/28,-22356.41906,966603.6663,-0.010087668,-0.029239644,-0.036360122,0.093914717,0.069717251,0.836368084,,,,,
0,2018/3/31,6604.861678,1001503.972,0.00671165,0.022891373,-0.027410591,0.759664714,0.059502672,0.180832654,,,,,
0,2018/4/30,22924.75591,1016756.5,-0.009410926,0.034157883,0.005168327,0.101416796,0.450740069,0.447843075,,,,,
0,2018/5/31,44464.33458,1021878.724,0.006618549,0.02676546,0.024309218,0.169818133,0.233569667,0.596612155,,,,,
0,2018/6/30,-10024.24135,995139.3078,0.001026583,-0.019412172,0.00575062,0.158069015,0.392030746,0.44990021,,,,,
0,2018/7/31,26928.46644,1007855.418,-0.000292368,-0.02432133,0.037046341,0.551635861,0.140033856,0.308330268,,,,,
0,2018/8/31,62878.9312,1025273.931,0.005680347,0.007536268,0.031919956,0.126375526,0.136565894,0.73705858,,,,,
0,2018/9/30,15557.20283,1003696.96,-0.00619746,0.033947151,0.005945796,0.299112111,0.049403299,0.651484609,,,,,
0,2018/10/31,-56280.18346,955158.4632,-0.006440473,-0.05620477,-0.06910423,0.375028461,0.059072502,0.565899074,,,,,
0,2018/11/30,-240.0245923,999818.6945,0.007715578,-0.098467051,0.018548778,0.289868236,0.133228838,0.576902926,,,,,
0,2018/12/31,-46744.28106,938044.5569,0.019811978,-0.040012516,-0.088048268,0.094027042,0.332066268,0.573906779,,,,,
0,2019/1/31,101194.4479,1048054.599,0.009109041,0.071083554,0.080065424,0.41680336,0.271208405,0.311988145,,,,,
0,2019/2/28,52444.71164,1012628.584,-0.001138483,0.028350419,0.032415744,0.573501945,0.133751541,0.292746454,,,,,
0,2019/3/31,10965.57346,1004399.243,0.021226079,-0.003759355,0.018100643,0.146587268,0.64773792,0.205674857,,,,,
0,2019/4/30,88523.4383,1018979.848,-0.00200343,0.011949661,0.040852555,0.364068002,0.216940716,0.418991297,,,,,
0,2019/5/31,-34779.52254,990446.7219,0.019108087,-0.059664439,-0.063771318,0.648633838,0.111922897,0.239443272,,,,,
0,2019/6/30,107944.2561,1048111.632,0.010986047,0.039656357,0.069586992,0.274191886,0.180666208,0.545141876,,,,,
0,2019/8/31,-13448.84274,983914.0176,0.027827935,-0.04630234,-0.016743129,0.093782775,0.119179487,0.78703773,,,,,
0,2019/9/30,31736.68931,995862.5064,-0.006120996,0.014160469,0.019457877,0.252641052,0.160789654,0.58656925,,,,,
0,2019/10/31,29170.32504,1015980.311,0.002081003,0.019282005,0.022104429,0.08294525,0.085809939,0.831244767,,,,,
0,2019/11/30,17092.38711,1025088.882,-0.000345595,-0.00130464,0.036198425,0.187539056,0.543414056,0.269046932,,,,,
0,2019/12/31,82085.87402,1055346.568,-0.000467648,0.058491568,0.029055493,0.153032288,0.169167757,0.67779994,,,,,
0,2020/1/31,-15467.4101,1045547.623,0.02029053,-0.08589343,-0.000403948,0.120345794,0.133017465,0.746636748,,,,,
0,2020/2/29,-51336.0975,982986.9789,0.015846834,-0.06652947,-0.079165532,0.188565284,0.111918338,0.699516356,,,,,
0,2020/3/31,-30348.21093,888129.9581,-0.005268397,-0.173401877,-0.124871523,0.328426749,0.22476843,0.446804881,,,,,
0,2020/4/30,25928.93234,914464.6249,0.017190912,-0.031111128,0.126983638,0.384794354,0.34842515,0.266780436,,,,,
0,2020/5/31,50074.04111,950333.9123,0.006725685,0.080733934,0.047645348,0.413572639,0.256954461,0.329472959,,,,,
0,2020/6/30,13602.12742,969210.7819,0.006590662,0.044991575,0.017734466,0.139300182,0.135057434,0.725642383,,,,,
0,2020/7/31,104030.6463,999621.1782,0.013332002,0.051177758,0.058892139,0.583436489,0.121103331,0.295460135,,,,,
0,2020/8/31,98323.73399,1041235.908,-0.008235795,0.046367917,0.069796687,0.273971498,0.289708555,0.436320007,,,,,
0,2020/9/30,-26884.91881,1010470.998,-0.000973574,-0.03545047,-0.037443741,0.208698124,0.143460229,0.647841692,,,,,
0,2020/10/31,-29894.36062,994033.1826,-0.00558277,-0.031393678,-0.024933674,0.501998901,0.162218869,0.335782319,,,,,
0,2020/11/30,152217.0815,1046372.008,0.012067547,0.101976315,0.108777057,0.565130293,0.216237992,0.21863164,,,,,
0,2020/12/31,100189.4637,1074160.26,0.000857607,0.054519413,0.037048477,0.448223799,0.327967167,0.223809034,,,,,
0,2021/1/31,-7222.059886,1069268.1,-0.007446063,0.033333353,-0.010190626,0.340853661,0.108003169,0.55114311,,,,,
